hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 0.00000, 5110.5, 5347.17, 5093.51, 0, 199.653, 208.905, 199.003, 10.4365
0, 0.00000, 5122.67, 5359.71, 5105.86, 0, 199.461, 208.691, 198.806, 10.4013
0, 0.00000, 5135.01, 5372.41, 5118.31, 0, 199.266, 208.48, 198.618, 10.3937
0, 0.00000, 5147.32, 5385.09, 5130.73, 0, 199.072, 208.268, 198.43, 10.386
0, 0.00000, 5159.75, 5397.88, 5143.27, 0, 198.875, 208.054, 198.24, 10.3782
0, 0.00000, 5172.15, 5410.64, 5155.79, 0, 198.679, 207.841, 198.05, 10.3704
0, 0.00000, 5184.66, 5423.52, 5168.42, 0, 198.48, 207.625, 197.858, 10.3625
0, 0.00000, 5197.29, 5436.52, 5181.16, 0, 198.28, 207.408, 197.664, 10.3546
0, 0.00000, 5209.89, 5449.49, 5193.88, 0, 198.08, 207.19, 197.471, 10.3466
0, 0.00000, 5222.6, 5462.57, 5206.71, 0, 197.877, 206.97, 197.275, 10.3385
0, 0.00000, 5235.28, 5475.62, 5219.52, 0, 197.675, 206.751, 197.08, 10.3305
0, 0.00000, 5248.07, 5488.78, 5232.43, 0, 197.471, 206.529, 196.882, 10.3223
0, 0.00000, 5260.97, 5502.05, 5245.46, 0, 197.265, 206.306, 196.683, 10.3141
0, 0.00000, 5273.84, 5515.3, 5258.46, 0, 197.059, 206.082, 196.484, 10.3059
0, 0.00000, 5286.81, 5528.65, 5271.57, 0, 196.852, 205.857, 196.283, 10.2976
0, 0.00000, 5299.9, 5542.11, 5284.8, 0, 196.642, 205.629, 196.081, 10.2892
0, 0.00000, 5312.95, 5555.54, 5297.99, 0, 196.432, 205.402, 195.878, 10.2808
0, 0.00000, 5326.11, 5569.08, 5311.29, 0, 196.22, 205.172, 195.674, 10.2723
0, 0.00000, 5339.38, 5582.73, 5324.7, 0, 196.007, 204.941, 195.467, 10.2638
0, 0.00000, 5352.61, 5596.35, 5338.07, 0, 195.794, 204.71, 195.261, 10.2552
0, 0.00000, 5365.95, 5610.06, 5351.56, 0, 195.578, 204.476, 195.053, 10.2466
0, 0.00000, 5379.25, 5623.75, 5365.01, 0, 195.363, 204.244, 194.845, 10.2379
0, 0.00000, 5392.8, 5637.68, 5378.71, 0, 195.144, 204.006, 194.634, 10.2291
0, 0.00000, 5406.31, 5651.57, 5392.37, 0, 194.925, 203.769, 194.422, 10.2203
0, 0.00000, 5419.92, 5665.57, 5406.13, 0, 194.704, 203.53, 194.209, 10.2114
0, 0.00000, 5433.49, 5679.53, 5419.87, 0, 194.484, 203.291, 193.996, 10.2025
0, 0.00000, 5447.16, 5693.59, 5433.7, 0, 194.261, 203.05, 193.781, 10.1936
0, 0.00000, 5460.93, 5707.75, 5447.64, 0, 194.037, 202.808, 193.564, 10.1845
0, 0.00000, 5474.8, 5722.02, 5461.68, 0, 193.811, 202.563, 193.345, 10.1754
0, 0.00000, 5488.77, 5736.38, 5475.82, 0, 193.583, 202.316, 193.125, 10.1662
0, 0.00000, 5502.7, 5750.7, 5489.92, 0, 193.355, 202.07, 192.905, 10.157
0, 0.00000, 5516.73, 5765.12, 5504.12, 0, 193.125, 201.821, 192.683, 10.1477
0, 0.00000, 5530.85, 5779.64, 5518.42, 0, 192.893, 201.571, 192.459, 10.1383
0, 0.00000, 5544.93, 5794.11, 5532.68, 0, 192.662, 201.321, 192.236, 10.1289
0, 0.00000, 5559.1, 5808.68, 5547.03, 0, 192.429, 201.069, 192.011, 10.1195
0, 0.00000, 5573.5, 5823.48, 5561.62, 0, 192.192, 200.813, 191.782, 10.1099
0, 0.00000, 5587.86, 5838.24, 5576.17, 0, 191.955, 200.557, 191.553, 10.1002
0, 0.00000, 5602.17, 5852.96, 5590.68, 0, 191.719, 200.302, 191.325, 10.0906
0, 0.00000, 5616.71, 5867.9, 5605.41, 0, 191.478, 200.042, 191.092, 10.0809
